Year,County,type,Count
1977,Albany,0,4438.719723183391
1977,Albany,1,24.603174603174605
1977,Albany,2,91.82844243792326
1977,Allegany,0,819.8701298701299
1977,Allegany,1,1.8918918918918919
1977,Allegany,2,0.0
1977,Bronx,0,23037.4358974359
1977,Bronx,2,1298.4645669291338
1977,Broome,0,4567.536231884058
1977,Broome,1,104.77272727272727
1977,Broome,2,99.65174129353234
1977,Cattaraugus,0,2104.234234234234
1977,Cattaraugus,1,5.414847161572053
1977,Cattaraugus,2,4.23162583518931
1977,Cayuga,0,2422.983870967742
1977,Cayuga,1,0.0
1977,Cayuga,2,599.1575091575091
1977,Chautauqua,0,2651.5723270440253
1977,Chautauqua,1,67.85971223021583
1977,Chautauqua,2,12.71165644171779
1977,Chemung,0,3599.342105263158
1977,Chemung,1,654.1228070175439
1977,Chemung,2,45.238853503184714
1977,Chenango,0,543.695652173913
1977,Chenango,1,11.176470588235293
1977,Chenango,2,0.0
1977,Clinton,0,1278.0487804878048
1977,Clinton,1,77.29323308270676
1977,Clinton,2,75.33653846153847
1977,Columbia,0,899.438202247191
1977,Columbia,1,0.0
1977,Columbia,2,6.3059701492537314
1977,Cortland,0,1413.4736842105262
1977,Cortland,1,0.0
1977,Cortland,2,7.142857142857143
1977,Delaware,0,900.1234567901234
1977,Delaware,1,0.0
1977,Delaware,2,0.0
1977,Dutchess,0,3707.6439790575914
1977,Dutchess,1,258.6588921282799
1977,Dutchess,2,64.45169712793734
1977,Erie,0,8899.104234527687
1977,Erie,1,42.68079800498753
1977,Erie,2,354.7128378378378
1977,Essex,0,1385.3521126760563
1977,Essex,1,0.0
1977,Essex,2,0.0
1977,Franklin,0,1483.611111111111
1977,Franklin,1,0.0
1977,Franklin,2,0.0
1977,Fulton,0,399.6363636363636
1977,Fulton,1,0.0
1977,Fulton,2,0.0
1977,Genesee,0,1534.6067415730338
1977,Genesee,1,24.310344827586206
1977,Genesee,2,50.948012232415905
1977,Greene,0,2432.8358208955224
1977,Greene,1,0.0
1977,Greene,2,0.0
1977,Hamilton,0,661.5
1977,Hamilton,1,0.0
1977,Hamilton,2,0.0
1977,Herkimer,0,2230.5172413793102
1977,Herkimer,1,0.0
1977,Herkimer,2,2.9365079365079363
1977,Jefferson,0,805.3846153846154
1977,Jefferson,1,12.337349397590362
1977,Jefferson,2,0.0
1977,Kings,0,18074.761904761905
1977,Kings,2,61.93423597678917
1977,Lewis,0,486.9387755102041
1977,Lewis,1,0.0
1977,Lewis,2,0.0
1977,Livingston,0,553.1132075471698
1977,Livingston,1,0.0
1977,Livingston,2,9.567307692307692
1977,Madison,0,2581.8888888888887
1977,Madison,1,6.363636363636363
1977,Madison,2,2.1476510067114094
1977,Monroe,0,5883.339731285989
1977,Monroe,1,199.2128279883382
1977,Monroe,2,49.666172106824924
1977,Montgomery,0,3933.786982248521
